,year,Land-Ocean Temperature Index,Year No_Smoothing  Lowess
0,1909,-0.48,-0.41
1,1904,-0.46,-0.31
2,1917,-0.46,-0.29
3,1911,-0.44,-0.39
4,1908,-0.43,-0.39
5,1910,-0.43,-0.41
6,1907,-0.38,-0.37
7,1903,-0.37,-0.28
8,1887,-0.36,-0.27
9,1912,-0.36,-0.35
10,1916,-0.36,-0.29
11,1929,-0.36,-0.19
12,1890,-0.35,-0.25
13,1913,-0.34,-0.32
14,1885,-0.33,-0.26
15,1886,-0.31,-0.27
16,1893,-0.31,-0.26
17,1894,-0.3,-0.24
18,1918,-0.29,-0.3
19,1933,-0.29,-0.17
20,1884,-0.28,-0.23
21,1919,-0.28,-0.29
22,1922,-0.28,-0.25
23,1892,-0.27,-0.26
24,1898,-0.27,-0.16
25,1902,-0.27,-0.25
26,1920,-0.27,-0.28
27,1923,-0.27,-0.24
28,1924,-0.27,-0.23
29,1905,-0.26,-0.33
30,1891,-0.22,-0.25
31,1895,-0.22,-0.22
32,1906,-0.22,-0.36
33,1925,-0.22,-0.22
34,1927,-0.22,-0.21
35,1928,-0.2,-0.2
36,1935,-0.2,-0.14
37,1964,-0.2,-0.04
38,1921,-0.19,-0.26
39,1956,-0.19,-0.05
40,1883,-0.17,-0.2
41,1888,-0.17,-0.26
42,1899,-0.17,-0.17
43,1950,-0.17,-0.08
44,1880,-0.16,-0.08
45,1930,-0.16,-0.19
46,1932,-0.16,-0.18
47,1901,-0.15,-0.23
48,1914,-0.15,-0.31
49,1936,-0.15,-0.1
50,1915,-0.14,-0.3
51,1955,-0.14,-0.06
52,1954,-0.13,-0.07
53,1934,-0.12,-0.16
54,1896,-0.11,-0.2
55,1897,-0.11,-0.18
56,1926,-0.11,-0.22
57,1948,-0.11,-0.07
58,1949,-0.11,-0.08
59,1965,-0.11,-0.05
60,1882,-0.1,-0.16
61,1889,-0.1,-0.25
62,1976,-0.1,0.04
63,1931,-0.09,-0.19
64,1900,-0.08,-0.2
65,1968,-0.08,-0.03
66,1971,-0.08,0.0
67,1881,-0.07,-0.12
68,1946,-0.07,0.0
69,1951,-0.07,-0.07
70,1974,-0.07,0.01
71,1966,-0.06,-0.06
72,1947,-0.03,-0.04
73,1960,-0.03,0.03
74,1937,-0.02,-0.06
75,1939,-0.02,0.03
76,1967,-0.02,-0.05
77,1975,-0.01,0.02
78,1938,0.0,-0.01
79,1952,0.01,-0.07
80,1972,0.01,0.0
81,1959,0.03,0.01
82,1962,0.03,-0.01
83,1970,0.03,-0.0
84,1957,0.05,-0.04
85,1963,0.05,-0.03
86,1969,0.05,-0.02
87,1958,0.06,-0.01
88,1961,0.06,0.01
89,1942,0.07,0.11
90,1978,0.07,0.12
91,1953,0.08,-0.07
92,1943,0.09,0.1
93,1945,0.09,0.04
94,1985,0.12,0.22
95,1940,0.13,0.07
96,1982,0.14,0.22
97,1973,0.16,-0.0
98,1984,0.16,0.21
99,1979,0.17,0.17
100,1977,0.18,0.08
101,1986,0.18,0.24
102,1941,0.19,0.09
103,1944,0.2,0.07
104,1992,0.22,0.33
105,1993,0.23,0.33
106,1980,0.26,0.2
107,1989,0.27,0.33
108,1983,0.31,0.21
109,1981,0.32,0.21
110,1987,0.32,0.27
111,1994,0.32,0.34
112,1996,0.33,0.4
113,1999,0.38,0.47
114,1988,0.39,0.31
115,2000,0.39,0.5
116,1991,0.4,0.33
117,1990,0.45,0.33
118,1995,0.45,0.37
119,1997,0.46,0.42
120,2001,0.54,0.52
121,2004,0.54,0.61
122,2008,0.54,0.64
123,1998,0.61,0.44
124,2011,0.61,0.67
125,2003,0.62,0.59
126,2002,0.63,0.55
127,2006,0.64,0.63
128,2012,0.65,0.7
129,2007,0.66,0.63
130,2009,0.66,0.64
131,2005,0.68,0.62
132,2013,0.68,0.74
133,2010,0.72,0.65
134,2014,0.75,0.79
135,2018,0.85,0.95
136,2015,0.9,0.83
137,2017,0.92,0.91
138,2019,0.98,0.98
139,2016,1.01,0.88
140,2020,1.02,1.01
